,n_trees,max_depth,tournament_size,max_features,accuracy,precision,recall,f1
0,100,3,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
1,100,3,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
2,100,3,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
3,100,5,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
4,100,5,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
5,100,5,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
6,100,7,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
7,100,7,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
8,100,7,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
9,200,3,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
10,200,3,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
11,200,3,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
12,200,5,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
13,200,5,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
14,200,5,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
15,200,7,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
16,200,7,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
17,200,7,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
18,300,3,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
19,300,3,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
20,300,3,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
21,300,5,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
22,300,5,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
23,300,5,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
24,300,7,3,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
25,300,7,5,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
26,300,7,7,11,0.5187692307692308,0.5187692307692308,1.0,0.6831442463533225
